total_yards,Humidity,Roof_outdoors,Roof_retractable roof (closed),Roof_retractable roof (open),Surface_fieldturf,Surface_fieldturf ,Surface_grass,Surface_sportturf,Temperature,Wind_Speed,pass_rating
211,0.6962025316455696,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0344827586206895,0.6666666666666666,0.5773847125710676
239,0.6962025316455696,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0344827586206895,0.6666666666666666,0.39229311433986097
186,0.4936708860759494,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7931034482758621,0.2,0.4358812381554011
237,0.4936708860759494,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7931034482758621,0.2,0.45546430827542633
272,0.5189873417721518,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2413793103448274,0.6666666666666666,0.8420720151610865
-2,0.5189873417721518,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2413793103448274,0.6666666666666666,0.0
285,0.5189873417721518,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2413793103448274,0.6666666666666666,0.4042956411876184
407,0.3924050632911393,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.27586206896551735,0.0,0.6948831332912191
321,0.3924050632911393,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.27586206896551735,0.0,0.47504737839545164
417,0.3924050632911393,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,1.0
312,0.3924050632911393,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.6032849020846494
22,0.3924050632911393,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.519898926089703
380,0.5063291139240507,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9310344827586206,0.4,0.9046114971572962
-1,0.5063291139240507,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9310344827586206,0.4,0.2501579279848389
281,0.5063291139240507,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9310344827586206,0.4,0.7738471257106758
75,0.5063291139240507,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9310344827586206,0.4,0.8389134554643083
193,0.5316455696202531,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9310344827586206,0.5333333333333333,0.41692987997473147
5,0.5316455696202531,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9310344827586206,0.5333333333333333,0.017687934301958304
330,0.5316455696202531,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9310344827586206,0.5333333333333333,1.0
64,0.5316455696202531,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9310344827586206,0.5333333333333333,0.912192040429564
328,0.3924050632911393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27586206896551735,0.0,0.5420088439671509
102,0.3924050632911393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27586206896551735,0.0,0.8894504106127605
283,0.6075949367088607,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06896551724137945,0.13333333333333333,0.41440303221730884
341,0.6075949367088607,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06896551724137945,0.13333333333333333,0.7890082122552116
292,0.4050632911392405,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4482758620689653,0.4,0.4497789008212255
175,0.4050632911392405,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4482758620689653,0.4,0.5363234365129501
380,0.4430379746835443,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5172413793103448,0.26666666666666666,0.7428932406822488
318,0.4430379746835443,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5172413793103448,0.26666666666666666,0.7643714466203411
199,0.48101265822784806,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4482758620689653,0.6666666666666666,0.7624763108022741
0,0.48101265822784806,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4482758620689653,0.6666666666666666,0.0
339,0.48101265822784806,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4482758620689653,0.6666666666666666,0.766266582438408
203,0.860759493670886,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.8490208464939987
418,0.860759493670886,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.6727732154137712
164,0.48101265822784806,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6,0.5066329753632344
207,0.48101265822784806,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6,0.2867972204674668
308,0.3924050632911393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.7220467466835122
370,0.3924050632911393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.6683512318382817
17,0.3924050632911393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.0
269,0.6582278481012658,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.13793103448275845,1.0,0.6651926721415033
261,0.6582278481012658,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.13793103448275845,1.0,0.7643714466203411
217,0.5189873417721518,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7241379310344827,0.2,0.653190145293746
333,0.5189873417721518,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7241379310344827,0.2,0.44283006948831327
234,0.3924050632911393,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.3872394188250157
24,0.3924050632911393,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.45546430827542633
323,0.3924050632911393,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.5028427037271004
304,0.3924050632911393,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5862068965517242,0.3333333333333333,0.8275426405559064
313,0.3924050632911393,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5862068965517242,0.3333333333333333,0.5716993051168666
128,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7931034482758621,0.2,0.44219835754895764
292,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7931034482758621,0.2,0.5249526216045483
258,0.3924050632911393,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.5792798483891345
305,0.3924050632911393,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.46114971572962726
247,0.7721518987341771,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.27586206896551735,0.3333333333333333,0.33417561591914086
209,0.7721518987341771,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.27586206896551735,0.3333333333333333,0.6392924826279216
164,0.3924050632911393,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.27586206896551735,0.0,0.4478837650031586
269,0.3924050632911393,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.27586206896551735,0.0,0.6140240050536955
95,0.6708860759493671,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7931034482758621,0.26666666666666666,0.1503474415666456
97,0.6708860759493671,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7931034482758621,0.26666666666666666,0.21351863550221095
265,0.6708860759493671,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7931034482758621,0.26666666666666666,0.7877447883765003
274,0.43037974683544306,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5172413793103448,0.3333333333333333,0.6386607706885659
252,0.43037974683544306,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5172413793103448,0.3333333333333333,0.3935565382185723
171,0.3924050632911393,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.06666666666666667,0.6013897662665824
186,0.3924050632911393,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.06666666666666667,0.5906506632975362
119,0.46835443037974683,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5862068965517242,0.2,0.5837018319646241
75,0.46835443037974683,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5862068965517242,0.2,0.42577384712571065
322,0.46835443037974683,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5862068965517242,0.2,0.8275426405559064
442,0.5949367088607596,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2068965517241379,0.8666666666666667,0.8288060644346177
216,0.5949367088607596,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2068965517241379,0.8666666666666667,0.38597599494630447
16,0.37974683544303794,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7241379310344827,0.26666666666666666,0.0
281,0.37974683544303794,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7241379310344827,0.26666666666666666,0.7113076437144661
170,0.37974683544303794,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7241379310344827,0.26666666666666666,0.456096020214782
38,0.37974683544303794,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7241379310344827,0.26666666666666666,0.279216677195199
353,0.5822784810126582,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6206896551724137,0.5333333333333333,0.5716993051168666
392,0.5822784810126582,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6206896551724137,0.5333333333333333,0.6620341124447251
338,0.4050632911392405,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5517241379310347,0.4666666666666667,0.7801642451042324
220,0.4050632911392405,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5517241379310347,0.4666666666666667,0.6538218572331016
325,0.6962025316455696,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.27586206896551735,0.2,0.5281111813013265
198,0.6962025316455696,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.27586206896551735,0.2,0.6298168035375868
3,0.6962025316455696,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.27586206896551735,0.2,0.3550221099178774
222,0.9240506329113922,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.31034482758620685,0.6,0.6835123183828173
338,0.9240506329113922,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.31034482758620685,0.6,0.5161086544535691
251,0.4936708860759494,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6551724137931036,0.8666666666666667,0.40050536955148447
289,0.4936708860759494,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6551724137931036,0.8666666666666667,0.5123183828174351
282,0.24050632911392406,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6551724137931036,0.8,0.503474415666456
194,0.24050632911392406,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6551724137931036,0.8,0.4042956411876184
314,0.3924050632911393,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.7460518003790271
307,0.3924050632911393,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.7650031585596967
242,0.3924050632911393,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.27586206896551735,0.0,0.46178142766898284
260,0.3924050632911393,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.27586206896551735,0.0,0.912192040429564
213,0.3924050632911393,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.39102969046114966
29,0.3924050632911393,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.7498420720151611
253,0.3924050632911393,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.27586206896551735,0.0,0.5773847125710676
234,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1724137931034484,0.4666666666666667,0.607706885660139
218,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1724137931034484,0.4666666666666667,0.4788376500315855
313,0.3924050632911393,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.27586206896551735,0.0,0.4459886291850915
383,0.3924050632911393,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.27586206896551735,0.0,0.8338597599494629
242,0.3924050632911393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27586206896551735,0.0,0.655085281111813
190,0.3924050632911393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27586206896551735,0.0,0.7075173720783322
-2,0.3924050632911393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27586206896551735,0.0,0.0
305,0.4430379746835443,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5862068965517242,0.6666666666666666,0.6563487049905243
