age,Medu,Fedu,G3,G2
18,4,4,6,6
17,1,1,6,5
15,1,1,10,8
15,4,2,15,14
16,3,3,10,10
16,4,3,15,15
16,2,2,11,12
17,4,4,6,5
15,3,2,19,18
15,3,4,15,15
15,4,4,9,8
15,2,1,12,12
15,4,4,14,14
15,4,3,11,10
15,2,2,16,16
16,4,4,14,14
16,4,4,14,14
16,3,3,10,10
17,3,2,5,5
16,4,3,10,10
15,4,3,15,14
15,4,4,15,15
16,4,2,16,15
16,2,2,12,13
15,2,4,8,9
16,2,2,8,9
15,2,2,11,12
15,4,2,15,16
16,3,4,11,11
16,4,4,11,12
15,4,4,12,11
15,4,4,17,16
15,4,3,16,16
15,3,3,12,10
16,3,2,15,14
15,2,3,6,7
15,4,3,18,16
16,4,4,15,16
15,3,4,11,12
15,2,2,13,13
16,2,2,11,10
15,4,4,12,12
15,4,4,18,18
15,2,2,11,8
16,2,2,9,10
15,4,3,6,8
16,3,3,11,12
16,4,3,20,19
15,4,2,14,15
15,4,4,7,7
16,2,2,13,13
15,4,2,13,13
15,4,2,10,11
15,4,4,11,10
15,3,3,13,13
16,2,1,10,9
15,4,3,15,15
15,4,4,15,15
15,1,2,9,10
16,4,2,16,16
16,4,4,11,11
16,1,1,11,8
16,1,2,9,10
16,4,3,9,9
15,4,3,10,10
16,4,3,15,15
15,4,4,12,13
16,3,1,6,7
15,2,2,8,9
15,3,1,16,16
16,3,1,15,15
15,4,2,10,10
15,1,1,5,6
16,3,1,14,12
16,3,3,11,12
15,4,3,10,9
15,4,0,10,11
16,2,2,11,11
17,2,1,10,8
16,3,4,5,5
15,2,3,12,12
15,2,3,11,10
15,3,2,6,6
15,2,2,15,15
15,1,1,10,10
15,4,4,8,9
16,2,2,6,7
15,4,2,14,14
16,2,2,10,10
16,4,4,7,6
16,3,3,8,7
15,4,3,18,17
16,3,1,6,6
16,4,2,10,10
15,2,2,14,13
15,1,1,10,10
16,4,3,15,15
16,2,1,10,9
16,4,4,14,14
16,4,3,8,9
16,4,4,5,7
16,4,4,17,17
15,4,4,14,13
15,3,2,6,6
15,3,4,18,18
15,3,3,11,11
15,2,2,8,8
16,3,3,18,18
15,4,4,13,13
16,4,4,16,15
15,4,4,19,19
16,3,3,10,10
16,2,2,13,13
15,4,2,19,19
15,2,1,9,9
16,4,4,16,15
15,4,4,14,13
16,3,3,13,14
17,1,3,8,7
15,3,4,13,13
15,1,2,15,15
15,2,2,15,14
16,2,4,13,13
16,4,4,13,11
16,2,2,8,7
15,3,4,12,13
15,3,4,11,10
19,0,1,9,8
18,2,2,0,4
16,4,4,18,18
15,3,4,0,0
15,1,1,0,0
17,2,2,12,13
16,3,4,11,11
15,3,4,0,0
15,4,4,0,0
17,3,4,0,0
16,3,3,0,0
16,1,1,12,12
15,4,4,15,16
15,4,3,0,9
16,2,2,9,9
15,4,4,11,11
16,1,1,13,14
17,2,1,0,0
15,1,1,11,11
15,3,2,0,7
15,1,2,11,11
16,4,4,0,6
15,2,1,10,9
18,1,1,0,5
16,2,1,14,13
15,3,3,10,10
19,3,2,0,0
17,4,4,12,11
15,2,3,8,8
17,1,2,13,12
18,1,1,10,8
16,2,2,15,15
16,3,3,12,12
17,2,1,0,6
15,3,2,7,9
16,1,2,0,0
17,1,3,10,10
17,1,1,7,8
16,3,2,12,11
16,2,2,10,10
16,4,2,16,15
16,2,2,0,7
16,4,4,14,14
16,3,4,0,5
16,1,0,16,15
17,4,4,10,11
16,1,3,0,7
16,3,3,9,11
17,4,3,9,9
16,2,2,11,13
17,3,3,6,5
16,4,2,9,8
17,4,3,11,10
16,4,3,8,8
16,3,3,12,13
17,2,4,17,17
17,3,3,8,9
16,3,2,12,13
17,3,3,11,12
16,1,2,11,12
16,2,1,15,15
17,3,3,9,7
17,1,2,10,9
16,2,3,13,12
17,1,1,9,8
17,1,2,8,8
16,3,3,10,9
16,2,3,14,14
17,2,4,15,15
17,4,4,16,15
16,3,3,10,9
17,4,4,18,18
16,4,4,10,9
16,4,3,16,16
16,2,3,10,10
17,1,1,10,9
17,2,2,6,6
16,2,2,11,10
17,3,4,9,9
16,3,1,7,7
16,4,3,13,12
16,1,1,10,9
17,4,3,7,7
19,3,3,8,8
17,4,4,13,12
16,2,2,14,13
18,2,2,8,7
17,4,4,10,10
17,3,2,15,15
17,4,3,4,6
18,3,3,8,6
17,2,3,8,7
17,2,2,10,10
17,2,1,6,6
17,1,1,0,5
16,2,3,17,16
18,2,2,13,13
16,4,4,14,13
18,3,1,7,8
17,3,2,15,15
17,2,3,12,11
18,2,1,9,8
17,2,1,12,10
17,4,3,14,13
17,2,2,11,11
17,4,4,9,9
16,4,4,13,13
16,1,1,6,7
16,3,2,10,9
17,2,2,13,13
16,2,1,12,12
17,2,1,11,11
18,2,2,0,7
17,4,3,12,12
17,4,4,12,11
16,4,3,0,0
16,4,4,12,12
18,2,1,0,0
16,2,1,18,18
17,2,3,13,12
22,3,1,8,8
18,3,3,5,5
16,0,2,15,15
18,3,2,8,8
16,3,3,10,10
18,2,1,8,9
16,2,1,8,9
17,2,1,12,12
17,1,1,8,9
17,4,2,13,12
19,4,3,11,11
18,2,1,14,14
17,2,2,0,9
18,4,3,18,18
18,4,3,8,8
18,3,2,12,12
17,3,3,9,9
18,2,2,0,10
18,3,4,17,17
17,3,1,10,9
18,4,4,11,10
18,4,2,10,9
18,2,1,0,0
19,3,3,9,9
18,2,3,14,14
18,1,1,11,11
17,1,2,14,14
17,2,4,10,10
17,2,2,12,12
18,3,2,9,9
18,4,4,9,9
18,4,4,8,8
18,4,3,10,11
17,4,1,8,8
17,3,2,10,9
18,1,1,12,12
18,1,1,10,9
17,2,2,11,9
17,1,1,11,10
18,2,2,19,18
17,1,1,12,12
18,2,1,14,14
18,4,4,15,13
18,4,2,11,11
17,4,3,15,15
18,2,1,13,12
17,3,1,18,18
18,3,2,14,13
17,3,3,11,12
19,4,4,0,9
18,4,3,8,8
18,4,3,14,13
18,4,4,16,15
18,4,4,11,10
17,4,4,10,11
17,4,2,14,12
17,3,2,18,17
19,3,3,13,14
18,2,4,12,12
20,3,2,18,18
19,4,4,8,9
19,3,3,12,12
19,1,1,10,10
19,1,2,0,9
19,2,1,13,12
19,1,2,11,11
19,3,2,11,10
19,1,1,13,13
19,2,3,11,11
18,2,1,0,8
18,4,3,9,10
17,3,4,10,11
18,4,4,11,11
17,4,3,13,13
17,2,2,9,9
17,2,2,11,11
17,3,1,15,14
17,0,2,15,15
18,4,4,11,12
17,3,3,16,15
17,2,2,10,10
17,4,4,9,9
17,4,4,14,14
18,2,2,8,8
17,2,4,14,14
18,3,3,0,0
18,2,2,0,8
18,2,2,0,9
17,3,4,15,15
19,3,1,13,13
17,3,2,0,8
18,3,3,17,15
17,3,2,10,10
19,2,1,11,12
18,4,4,0,10
18,3,4,15,15
17,2,2,0,8
18,2,3,10,10
18,3,2,14,13
18,4,3,16,15
18,4,3,9,10
17,4,3,15,15
18,3,2,13,13
19,1,1,8,7
17,3,3,13,13
18,1,3,8,7
19,1,1,8,8
17,4,3,11,11
18,3,3,9,9
17,4,4,13,13
17,3,2,11,12
18,1,1,10,10
18,1,1,16,16
18,1,4,13,13
18,1,1,12,12
18,3,3,10,11
17,4,4,15,15
17,1,2,12,11
18,1,3,10,10
18,4,4,13,13
17,1,1,0,6
18,2,3,10,10
18,4,4,11,12
19,3,2,9,7
18,1,2,12,12
17,2,2,11,11
17,1,2,5,5
18,4,4,19,18
18,1,1,10,8
20,4,2,15,14
18,4,4,10,9
18,3,3,15,15
17,3,1,10,10
18,4,4,14,14
18,2,1,7,6
17,2,3,10,11
19,1,1,0,5
18,4,2,5,5
18,2,2,10,9
18,4,4,6,5
19,2,3,0,5
18,3,1,8,9
18,1,1,0,5
20,2,2,9,9
17,3,1,16,16
21,1,1,7,8
18,3,2,10,12
19,1,1,9,9
