G3,Dalc,Fedu,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,G1,G2,Medu,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Pstatus_T,Walc,absences,activities_yes,address_U,age,failures,famrel,famsize_LE3,famsup_yes,freetime,goout,guardian_mother,guardian_other,health,higher_yes,internet_yes,nursery_yes,paid_yes,reason_home,reason_other,reason_reputation,romantic_yes,school_MS,schoolsup_yes,sex_M,studytime,traveltime
10,0.0,0.75,0.0,1.0,0.0,0.0,0.3125,0.5263157894736842,0.5,0.0,1.0,0.0,0.0,1.0,0.5,0.08,1.0,1.0,0.1428571428571428,0.0,0.75,0.0,1.0,0.75,0.5,1.0,0.0,0.75,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0
10,0.0,0.25,0.0,1.0,0.0,0.0,0.375,0.47368421052631576,0.25,0.0,1.0,0.0,0.0,1.0,0.5,0.05333333333333334,0.0,1.0,0.2857142857142856,0.0,0.75,0.0,1.0,0.75,0.75,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
6,0.0,0.5,0.0,1.0,0.0,0.0,0.25,0.3157894736842105,0.5,0.0,1.0,0.0,0.0,1.0,0.25,0.24000000000000002,0.0,0.0,0.2857142857142856,0.0,1.0,0.0,1.0,0.5,0.25,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.5,0.0,0.0,1.0,0.0,0.4375,0.5263157894736842,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.08,1.0,0.0,0.1428571428571428,0.0,1.0,0.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333
9,0.5,1.0,0.0,0.0,1.0,0.0,0.4375,0.47368421052631576,0.75,0.0,0.0,0.0,0.0,1.0,0.75,0.37333333333333335,0.0,1.0,0.2857142857142856,0.3333333333333333,0.75,0.0,1.0,0.75,0.5,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666667,0.0
7,0.25,0.25,0.0,1.0,0.0,0.0,0.25,0.3684210526315789,0.75,0.0,0.0,1.0,0.0,0.0,0.25,0.06666666666666667,0.0,1.0,0.1428571428571428,1.0,0.25,0.0,1.0,0.5,0.5,1.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
13,0.0,0.75,0.0,1.0,0.0,0.0,0.5,0.631578947368421,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.13333333333333333,1.0,1.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.5,0.25,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0
10,0.0,0.25,0.0,1.0,0.0,0.0,0.375,0.47368421052631576,0.25,0.0,0.0,0.0,0.0,1.0,0.75,0.08,0.0,1.0,0.1428571428571428,0.0,0.75,0.0,1.0,0.5,0.25,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
7,0.0,0.75,0.0,1.0,0.0,0.0,0.25,0.3684210526315789,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.08,1.0,0.0,0.2857142857142856,0.0,0.75,0.0,1.0,0.75,0.25,1.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666667,0.3333333333333333
8,0.0,0.75,0.0,1.0,0.0,0.0,0.3125,0.42105263157894735,0.75,0.0,1.0,0.0,0.0,1.0,0.25,0.13333333333333333,1.0,1.0,0.5714285714285712,0.0,0.75,0.0,1.0,0.5,0.5,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
13,0.75,1.0,0.0,1.0,0.0,0.0,0.5625,0.631578947368421,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.17333333333333334,0.0,1.0,0.2857142857142856,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0
14,0.0,0.5,0.0,1.0,0.0,0.0,0.5625,0.6842105263157894,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1428571428571428,0.0,0.5,0.0,1.0,0.5,0.75,1.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0
8,0.25,0.5,0.0,1.0,0.0,0.0,0.1875,0.3684210526315789,0.5,0.0,0.0,1.0,0.0,1.0,0.75,0.2,1.0,1.0,0.4285714285714284,0.3333333333333333,0.75,0.0,1.0,0.75,0.75,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0
10,0.0,1.0,0.0,1.0,0.0,0.0,0.3125,0.5263157894736842,1.0,0.0,0.0,1.0,0.0,1.0,0.25,0.16,0.0,0.0,0.2857142857142856,0.0,1.0,1.0,1.0,0.25,0.0,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.5,0.0,1.0,0.0,0.0,0.6875,0.7894736842105263,0.75,0.0,1.0,0.0,0.0,1.0,0.5,0.02666666666666667,0.0,1.0,0.2857142857142856,0.0,0.75,1.0,0.0,0.75,0.75,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
4,0.25,0.75,0.0,1.0,0.0,0.0,0.1875,0.3157894736842105,1.0,0.0,1.0,0.0,0.0,1.0,0.75,0.29333333333333333,0.0,1.0,0.2857142857142856,0.6666666666666666,0.5,0.0,0.0,0.75,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0
8,0.25,0.75,1.0,0.0,0.0,0.0,0.1875,0.3157894736842105,0.75,0.0,0.0,1.0,0.0,1.0,0.75,0.17333333333333334,0.0,1.0,0.4285714285714284,0.3333333333333333,0.5,1.0,1.0,0.25,0.75,0.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0
8,0.0,0.75,0.0,1.0,0.0,0.0,0.25,0.3684210526315789,0.5,0.0,0.0,0.0,0.0,1.0,0.75,0.04,0.0,1.0,0.2857142857142856,0.0,0.5,0.0,1.0,0.5,0.5,0.0,0.0,0.5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
10,0.0,0.5,0.0,0.0,0.0,0.0,0.375,0.5263157894736842,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.05333333333333334,1.0,1.0,0.2857142857142856,0.0,0.75,0.0,1.0,0.5,0.5,1.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0
6,0.0,0.25,0.0,0.0,1.0,0.0,0.1875,0.3157894736842105,0.5,0.0,0.0,0.0,0.0,1.0,0.25,0.02666666666666667,1.0,0.0,0.2857142857142856,0.0,0.75,0.0,1.0,0.25,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
0,0.0,0.25,0.0,1.0,0.0,0.0,0.1875,0.2631578947368421,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.2857142857142856,0.3333333333333333,0.75,0.0,1.0,0.5,0.75,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.6666666666666667,0.0
17,0.0,0.75,0.0,0.0,0.0,1.0,0.8125,0.8421052631578947,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.02666666666666667,0.0,1.0,0.1428571428571428,0.0,0.25,0.0,0.0,0.5,0.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0
13,1.0,0.5,0.0,1.0,0.0,0.0,0.5625,0.6842105263157894,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.4285714285714284,0.0,0.5,0.0,1.0,0.5,0.5,1.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333
14,0.0,1.0,0.0,0.0,1.0,0.0,0.625,0.6842105263157894,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.1428571428571428,0.0,1.0,0.0,1.0,0.5,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0
7,0.0,0.25,0.0,1.0,0.0,0.0,0.375,0.42105263157894735,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.21333333333333335,1.0,0.0,0.4285714285714284,0.3333333333333333,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0
15,0.0,0.5,0.0,1.0,0.0,0.0,0.8125,0.7894736842105263,0.75,0.0,1.0,0.0,0.0,1.0,0.5,0.13333333333333333,1.0,1.0,0.2857142857142856,0.0,1.0,0.0,0.0,0.5,0.75,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
12,0.0,0.75,0.0,0.0,1.0,0.0,0.5625,0.5789473684210527,0.5,0.0,0.0,1.0,0.0,1.0,0.5,0.02666666666666667,0.0,1.0,0.2857142857142856,0.0,1.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0
9,0.75,0.25,0.0,1.0,0.0,0.0,0.4375,0.42105263157894735,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.18666666666666668,1.0,1.0,0.4285714285714284,0.0,0.75,1.0,1.0,0.5,0.25,1.0,0.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.3333333333333333,1.0
12,0.0,0.25,0.0,1.0,0.0,0.0,0.5625,0.5263157894736842,0.5,0.0,1.0,0.0,0.0,0.0,0.25,0.13333333333333333,1.0,1.0,0.2857142857142856,0.0,0.5,0.0,0.0,0.25,0.5,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666667,0.3333333333333333
14,0.0,0.75,0.0,1.0,0.0,0.0,0.625,0.6842105263157894,1.0,1.0,0.0,0.0,0.0,1.0,0.25,0.18666666666666668,1.0,1.0,0.2857142857142856,0.0,0.5,1.0,0.0,0.25,0.5,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0
11,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.5789473684210527,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.05333333333333334,1.0,0.0,0.2857142857142856,0.0,0.75,0.0,1.0,1.0,0.25,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333
9,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.47368421052631576,1.0,0.0,0.0,0.0,1.0,1.0,0.5,0.18666666666666668,1.0,1.0,0.2857142857142856,0.0,0.75,0.0,1.0,1.0,1.0,1.0,0.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.3333333333333333,0.0
13,0.25,1.0,0.0,1.0,0.0,0.0,0.6875,0.6842105263157894,1.0,1.0,0.0,0.0,0.0,1.0,0.75,0.02666666666666667,1.0,1.0,0.1428571428571428,0.0,0.75,0.0,1.0,0.25,0.75,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0
6,0.0,0.25,0.0,1.0,0.0,0.0,0.375,0.3684210526315789,0.25,0.0,1.0,0.0,0.0,1.0,0.0,0.24000000000000002,0.0,1.0,0.1428571428571428,0.0,0.5,1.0,1.0,0.75,0.25,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333
10,0.0,0.5,0.0,1.0,0.0,0.0,0.5,0.47368421052631576,0.75,0.0,0.0,0.0,0.0,1.0,0.5,0.13333333333333333,1.0,1.0,0.1428571428571428,0.0,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.6666666666666667,0.3333333333333333
13,1.0,0.5,0.0,1.0,0.0,0.0,0.6875,0.6842105263157894,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.05333333333333334,1.0,1.0,0.2857142857142856,0.0,0.75,1.0,0.0,0.75,0.25,0.0,0.0,0.75,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0
12,0.0,0.25,0.0,1.0,0.0,0.0,0.625,0.631578947368421,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.26666666666666666,0.0,1.0,0.1428571428571428,0.0,0.75,0.0,0.0,1.0,0.25,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.25,0.0,0.0,1.0,0.0,0.625,0.5789473684210527,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.02666666666666667,1.0,0.0,0.2857142857142856,0.0,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666667
0,0.5,0.5,0.0,0.0,1.0,0.0,0.25,0.3684210526315789,0.5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.4285714285714284,0.3333333333333333,1.0,0.0,0.0,1.0,0.75,0.0,0.0,0.25,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0
12,0.0,0.75,0.0,1.0,0.0,0.0,0.5625,0.631578947368421,1.0,1.0,0.0,0.0,0.0,1.0,0.75,0.18666666666666668,1.0,1.0,0.2857142857142856,0.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333
12,0.25,1.0,0.0,1.0,0.0,0.0,0.4375,0.5789473684210527,1.0,0.0,0.0,0.0,1.0,0.0,0.5,0.02666666666666667,0.0,0.0,0.2857142857142856,0.0,0.5,1.0,1.0,0.5,0.5,1.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333
0,0.0,0.75,0.0,1.0,0.0,0.0,0.1875,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.1428571428571428,0.0,1.0,1.0,0.0,0.75,1.0,1.0,0.0,0.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,0.0,1.0,0.0,0.0,1.0,0.0,0.625,0.631578947368421,1.0,0.0,0.0,1.0,0.0,1.0,0.25,0.0,1.0,1.0,0.1428571428571428,0.0,1.0,0.0,0.0,0.5,0.25,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,0.25,0.0,1.0,0.0,0.0,0.25,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.4285714285714284,0.0,0.75,0.0,1.0,0.75,0.75,0.0,1.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666667,0.3333333333333333
18,0.0,0.25,0.0,1.0,0.0,0.0,0.9375,0.9473684210526315,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.08,0.0,1.0,0.1428571428571428,0.0,0.75,0.0,0.0,0.5,0.5,1.0,0.0,0.75,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666667
13,0.0,0.75,0.0,1.0,0.0,0.0,0.5625,0.631578947368421,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.05333333333333334,0.0,1.0,0.2857142857142856,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333
8,1.0,0.25,0.0,0.0,1.0,0.0,0.1875,0.42105263157894735,0.75,0.0,0.0,1.0,0.0,1.0,1.0,0.21333333333333335,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.75,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
5,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.2631578947368421,0.75,0.0,1.0,0.0,0.0,1.0,0.5,0.10666666666666667,0.0,0.0,0.4285714285714284,0.3333333333333333,0.75,1.0,1.0,0.5,0.5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.3333333333333333,0.0
15,0.25,0.5,0.0,1.0,0.0,0.0,0.625,0.7894736842105263,0.0,0.0,1.0,0.0,0.0,1.0,0.75,0.0,0.0,1.0,0.1428571428571428,0.0,0.75,0.0,0.0,0.5,0.25,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,0.25,0.5,0.0,1.0,0.0,0.0,0.1875,0.42105263157894735,0.75,0.0,0.0,1.0,0.0,1.0,0.75,0.0,0.0,1.0,0.4285714285714284,0.3333333333333333,0.75,0.0,0.0,0.75,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333
10,0.0,0.75,0.0,1.0,0.0,0.0,0.25,0.5263157894736842,0.75,0.0,0.0,0.0,0.0,1.0,0.5,0.08,0.0,1.0,0.1428571428571428,0.0,1.0,0.0,1.0,0.5,0.5,0.0,1.0,0.25,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.6666666666666667
8,0.25,0.25,0.0,0.0,1.0,0.0,0.1875,0.47368421052631576,0.5,0.0,0.0,1.0,0.0,1.0,1.0,0.05333333333333334,0.0,1.0,0.4285714285714284,0.3333333333333333,0.5,0.0,0.0,0.25,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,0.0,0.25,0.0,1.0,0.0,0.0,0.3125,0.47368421052631576,0.5,0.0,1.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.1428571428571428,0.0,0.5,0.0,0.0,0.5,0.25,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333
12,0.25,0.25,0.0,1.0,0.0,0.0,0.3125,0.631578947368421,0.5,0.0,1.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,0.2857142857142856,0.0,0.75,0.0,0.0,0.75,0.25,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,0.0,0.25,0.0,1.0,0.0,0.0,0.25,0.47368421052631576,0.25,1.0,0.0,0.0,0.0,1.0,0.25,0.02666666666666667,1.0,1.0,0.2857142857142856,0.3333333333333333,0.75,1.0,1.0,0.75,0.75,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333
13,0.0,0.5,0.0,0.0,1.0,0.0,0.6875,0.631578947368421,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.08,1.0,1.0,0.2857142857142856,0.0,0.75,1.0,1.0,0.25,0.5,1.0,0.0,0.75,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
11,0.0,0.75,0.0,0.0,0.0,0.0,0.5,0.5789473684210527,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16,0.0,1.0,0.5714285714285712,0.0,0.75,1.0,1.0,0.5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0
14,0.0,0.25,0.0,1.0,0.0,0.0,0.75,0.7368421052631579,0.5,0.0,1.0,0.0,0.0,1.0,0.25,0.10666666666666667,1.0,1.0,0.4285714285714284,0.0,1.0,0.0,0.0,0.25,0.75,1.0,0.0,0.75,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0
0,0.0,0.5,0.0,0.0,1.0,0.0,0.4375,0.47368421052631576,0.5,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.2857142857142856,0.0,0.5,1.0,0.0,0.75,0.0,0.0,0.0,0.25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
18,0.0,0.75,0.0,1.0,0.0,0.0,0.875,0.9473684210526315,1.0,0.0,0.0,1.0,0.0,1.0,0.5,0.28,0.0,1.0,0.4285714285714284,0.0,0.5,0.0,1.0,0.0,0.25,0.0,0.0,0.25,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.3333333333333333,0.0
8,0.0,0.75,0.0,1.0,0.0,0.0,0.3125,0.42105263157894735,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.02666666666666667,0.0,1.0,0.4285714285714284,0.0,0.75,0.0,1.0,0.5,0.25,1.0,0.0,0.5,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0
12,0.0,0.5,0.0,1.0,0.0,0.0,0.625,0.631578947368421,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.013333333333333334,1.0,0.0,0.4285714285714284,0.0,1.0,0.0,0.0,0.5,0.25,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6666666666666667,0.0
9,0.0,0.75,0.0,1.0,0.0,0.0,0.4375,0.47368421052631576,0.75,0.0,1.0,0.0,0.0,1.0,0.0,0.05333333333333334,1.0,1.0,0.2857142857142856,0.0,0.5,0.0,0.0,0.25,0.5,1.0,0.0,0.75,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666667,0.0
0,0.0,0.5,0.0,0.0,1.0,0.0,0.375,0.5263157894736842,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.4285714285714284,0.0,0.75,0.0,1.0,0.5,0.5,1.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6666666666666667,0.0
17,0.5,1.0,0.0,1.0,0.0,0.0,0.875,0.894736842105263,0.75,0.0,1.0,0.0,0.0,0.0,0.75,0.17333333333333334,1.0,0.0,0.4285714285714284,0.0,0.75,1.0,1.0,0.25,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.3333333333333333
